krediMiktari;yas;evDurumu;aldigi_kredi_sayi;telefonDurumu;KrediDurumu
11560;23;kiraci;2;yok;verme
4380;35;evsahibi;1;var;krediver
6761;45;evsahibi;2;var;krediver
4280;26;kiraci;2;yok;verme
2325;32;evsahibi;1;yok;krediver
1048;23;evsahibi;1;yok;krediver
3160;41;evsahibi;1;var;krediver
2483;22;evsahibi;1;var;krediver
14179;30;evsahibi;2;var;krediver
1797;28;evsahibi;2;yok;krediver
2511;23;kiraci;1;yok;krediver
1274;37;evsahibi;1;yok;verme
5248;26;evsahibi;1;yok;krediver
3029;33;evsahibi;1;yok;krediver
428;49;evsahibi;1;var;krediver
976;23;evsahibi;1;yok;verme
841;23;kiraci;1;yok;krediver
5771;25;evsahibi;2;yok;krediver
1555;55;kiraci;2;yok;verme
1285;32;kiraci;1;yok;verme
1299;74;evsahibi;3;yok;krediver
1271;39;kiraci;2;var;verme
1393;31;evsahibi;1;var;krediver
691;35;evsahibi;2;yok;verme
5045;59;evsahibi;1;var;krediver
2124;24;kiraci;2;yok;verme
2214;24;evsahibi;1;yok;krediver
12680;30;kiraci;1;var;verme
2463;27;evsahibi;2;var;krediver
1155;40;evsahibi;2;yok;krediver
3108;31;evsahibi;1;yok;verme
2901;31;kiraci;1;yok;krediver
3617;28;kiraci;3;var;krediver
1655;63;evsahibi;2;var;krediver
2812;26;kiraci;1;yok;krediver
8065;25;evsahibi;2;var;verme
3275;36;evsahibi;1;var;krediver
2223;52;evsahibi;2;yok;krediver
1480;66;kiraci;3;yok;krediver
1371;25;kiraci;1;yok;verme
3535;37;evsahibi;2;var;krediver
3509;25;evsahibi;1;yok;krediver
5711;38;evsahibi;2;var;krediver
3872;67;evsahibi;1;var;krediver
4933;25;evsahibi;2;yok;verme
1940;60;evsahibi;1;var;krediver
1410;31;evsahibi;1;var;krediver
836;23;evsahibi;1;yok;verme
6468;60;evsahibi;1;var;krediver
1941;35;evsahibi;1;var;krediver
2675;40;evsahibi;1;yok;krediver
2751;38;evsahibi;2;var;krediver
6224;50;kiraci;1;yok;verme
5998;27;evsahibi;1;var;verme
1188;39;evsahibi;1;yok;verme
6313;41;evsahibi;1;var;krediver
1221;27;evsahibi;2;yok;krediver
2892;51;kiraci;1;yok;krediver
3062;32;kiraci;1;var;krediver
2301;22;kiraci;1;yok;krediver
7511;51;kiraci;1;var;verme
1258;22;kiraci;2;yok;krediver
717;54;evsahibi;2;var;krediver
1549;35;evsahibi;1;yok;krediver
1597;54;kiraci;2;yok;krediver
1795;48;kiraci;2;var;krediver
4272;24;evsahibi;2;yok;krediver
976;35;evsahibi;2;yok;krediver
7472;24;kiraci;1;yok;krediver
9271;24;evsahibi;1;var;verme
590;26;evsahibi;1;yok;krediver
930;65;evsahibi;4;yok;krediver
9283;55;kiraci;1;var;krediver
1778;26;kiraci;2;yok;verme
907;26;evsahibi;1;var;krediver
484;28;evsahibi;1;yok;krediver
9629;24;evsahibi;2;var;verme
3051;54;evsahibi;1;yok;verme
3931;46;kiraci;1;yok;verme
7432;54;kiraci;1;yok;krediver
1338;62;evsahibi;1;yok;krediver
1554;24;kiraci;2;var;krediver
15857;43;evsahibi;1;yok;krediver
1345;26;evsahibi;1;yok;verme
1101;27;evsahibi;2;var;krediver
3016;24;evsahibi;1;yok;krediver
2712;41;evsahibi;1;yok;verme
731;47;evsahibi;2;yok;krediver
3780;35;evsahibi;2;var;krediver
1602;30;evsahibi;2;var;krediver
3966;33;kiraci;3;var;verme
4165;36;evsahibi;2;yok;verme
8335;47;kiraci;1;yok;verme
6681;38;kiraci;1;var;krediver
2375;44;evsahibi;2;var;krediver
1216;23;kiraci;1;var;verme
11816;29;kiraci;2;yok;verme
5084;42;evsahibi;1;var;krediver
2327;25;evsahibi;1;yok;verme
1082;48;evsahibi;2;yok;verme
886;21;evsahibi;1;yok;krediver
601;23;kiraci;1;yok;krediver
2957;63;evsahibi;2;var;krediver
2611;46;evsahibi;2;yok;krediver
5179;29;evsahibi;1;yok;verme
2993;28;evsahibi;2;yok;krediver
1943;23;evsahibi;1;yok;verme
1559;50;evsahibi;1;var;krediver
3422;47;evsahibi;3;var;krediver
3976;35;evsahibi;1;var;krediver
6761;68;kiraci;2;yok;verme
1249;28;evsahibi;1;yok;krediver
1364;59;evsahibi;1;yok;krediver
709;57;evsahibi;1;yok;verme
2235;33;kiraci;2;yok;verme
4042;43;evsahibi;2;var;krediver
1471;35;kiraci;2;var;krediver
1442;32;kiraci;2;yok;verme
10875;45;evsahibi;2;var;krediver
1474;33;evsahibi;1;var;krediver
894;40;evsahibi;1;var;krediver
3343;28;kiraci;1;var;krediver
3959;29;evsahibi;1;var;verme
3577;26;kiraci;1;yok;krediver
5804;27;evsahibi;2;yok;krediver
2169;28;evsahibi;1;var;verme
2439;35;evsahibi;1;var;verme
4526;32;evsahibi;2;var;krediver
2210;25;kiraci;1;yok;verme
2221;20;kiraci;1;yok;krediver
2389;27;evsahibi;1;yok;krediver
3331;42;evsahibi;1;yok;krediver
7409;37;evsahibi;2;yok;krediver
652;24;kiraci;1;yok;krediver
7678;40;evsahibi;2;var;krediver
1343;46;evsahibi;2;yok;krediver
1382;26;evsahibi;2;var;krediver
874;24;evsahibi;1;yok;krediver
3590;29;evsahibi;1;yok;krediver
1322;40;evsahibi;2;yok;krediver
1940;36;kiraci;1;var;krediver
3595;28;evsahibi;1;yok;krediver
1422;27;kiraci;1;var;verme
6742;36;evsahibi;2;yok;krediver
7814;38;evsahibi;1;var;krediver
9277;48;kiraci;1;var;krediver
2181;36;evsahibi;2;yok;krediver
1098;65;evsahibi;2;yok;krediver
4057;43;evsahibi;1;var;verme
795;53;evsahibi;1;yok;verme
2825;34;evsahibi;2;var;krediver
15672;23;evsahibi;1;var;verme
6614;34;evsahibi;2;var;krediver
7824;40;kiraci;2;var;krediver
2442;43;evsahibi;4;var;krediver
1829;46;evsahibi;2;var;krediver
2171;38;evsahibi;2;yok;krediver
5800;34;evsahibi;2;var;krediver
1169;29;evsahibi;2;var;krediver
8947;31;evsahibi;1;var;krediver
2606;28;kiraci;1;var;krediver
1592;35;evsahibi;1;yok;krediver
2186;33;kiraci;1;yok;krediver
4153;42;evsahibi;1;yok;verme
2625;43;kiraci;1;var;verme
3485;44;evsahibi;2;var;krediver
10477;42;kiraci;2;yok;krediver
1386;40;kiraci;1;var;krediver
1278;36;evsahibi;1;var;krediver
1107;20;kiraci;1;var;krediver
3763;24;evsahibi;1;yok;krediver
3711;27;evsahibi;1;yok;krediver
3594;46;evsahibi;2;yok;krediver
3195;33;evsahibi;1;yok;krediver
4454;34;evsahibi;2;yok;krediver
4736;25;evsahibi;1;yok;verme
2991;25;evsahibi;1;yok;krediver
2142;28;evsahibi;1;var;krediver
3161;31;kiraci;1;var;verme
18424;32;evsahibi;1;var;verme
2848;32;evsahibi;1;yok;krediver
14896;68;evsahibi;1;var;verme
2359;33;evsahibi;1;yok;verme
3345;39;kiraci;1;var;verme
1817;28;evsahibi;2;yok;krediver
12749;37;evsahibi;1;var;krediver
1366;22;kiraci;1;yok;verme
2002;30;kiraci;1;var;krediver
6872;55;evsahibi;1;var;verme
697;46;evsahibi;2;var;verme
1049;21;kiraci;1;yok;krediver
10297;39;kiraci;3;var;verme
1867;58;evsahibi;1;var;krediver
1344;43;evsahibi;2;yok;krediver
1747;24;evsahibi;1;yok;krediver
1670;22;evsahibi;1;var;verme
1224;30;evsahibi;2;yok;krediver
522;42;evsahibi;2;var;krediver
1498;23;evsahibi;1;yok;krediver
1919;30;evsahibi;2;yok;verme
745;28;evsahibi;1;yok;verme
2063;30;kiraci;1;var;krediver
6288;42;kiraci;1;yok;verme
6842;46;evsahibi;2;var;krediver
3527;45;evsahibi;1;var;krediver
1546;31;evsahibi;1;yok;krediver
929;31;evsahibi;1;var;krediver
1455;42;evsahibi;3;yok;krediver
1845;46;kiraci;1;yok;krediver
8358;30;evsahibi;2;yok;krediver
3349;30;kiraci;1;var;verme
2859;38;evsahibi;1;var;krediver
1533;43;evsahibi;1;yok;verme
3621;31;evsahibi;2;yok;verme
3590;40;evsahibi;3;var;krediver
2145;24;evsahibi;2;var;verme
4113;28;kiraci;1;yok;verme
10974;26;evsahibi;2;var;verme
1893;29;evsahibi;1;var;krediver
1231;57;kiraci;2;var;krediver
3656;49;evsahibi;2;yok;krediver
1154;37;evsahibi;3;yok;krediver
4006;45;evsahibi;1;yok;verme
3069;30;kiraci;1;yok;krediver
1740;30;kiraci;2;yok;krediver
2353;47;evsahibi;2;yok;krediver
3556;29;evsahibi;1;yok;krediver
2397;35;evsahibi;2;var;verme
454;22;evsahibi;1;yok;krediver
1715;26;evsahibi;1;yok;krediver
2520;23;evsahibi;2;yok;verme
3568;54;kiraci;1;var;krediver
7166;29;kiraci;1;var;krediver
3939;40;evsahibi;2;yok;krediver
1514;22;evsahibi;1;yok;krediver
7393;43;evsahibi;1;yok;krediver
1193;29;kiraci;2;yok;verme
7297;36;kiraci;1;yok;verme
2831;33;evsahibi;1;var;krediver
1258;57;evsahibi;1;yok;krediver
753;64;evsahibi;1;yok;krediver
2427;42;evsahibi;2;yok;krediver
2538;47;evsahibi;2;yok;verme
1264;25;kiraci;1;yok;verme
8386;49;evsahibi;1;yok;verme
4844;33;kiraci;1;var;verme
2923;28;evsahibi;1;var;krediver
8229;26;evsahibi;1;yok;verme
2028;30;evsahibi;2;yok;krediver
1433;25;kiraci;2;yok;krediver
6289;33;evsahibi;2;yok;krediver
1409;64;evsahibi;1;yok;krediver
6579;29;kiraci;1;var;krediver
1743;48;evsahibi;2;yok;krediver
3565;37;evsahibi;2;yok;krediver
1569;34;evsahibi;1;yok;krediver
1936;23;kiraci;2;yok;krediver
3959;30;evsahibi;1;var;krediver
2390;50;evsahibi;1;var;krediver
1736;31;evsahibi;1;yok;krediver
3857;40;evsahibi;1;var;krediver
804;38;evsahibi;1;yok;krediver
1845;23;kiraci;1;var;verme
4576;27;evsahibi;1;yok;krediver
